OBJECTID,pointid,grid_code,PR_mean,ETP_mean,Balance_me,stress_probability
3144,3144,1.0000000,204.2203522,1530.6278076,-1326.4074707,1.0000000
3145,3145,1.0000000,214.1803284,1488.4083252,-1274.2280273,1.0000000
3146,3146,1.0000000,221.4170532,1481.1425781,-1259.7254639,1.0000000
3147,3147,1.0000000,223.0313721,1494.8719482,-1271.8405762,1.0000000
3148,3148,1.0000000,227.4512024,1489.4361572,-1261.9849854,1.0000000
3149,3149,1.0000000,259.8460999,1359.8337402,-1099.9876709,1.0000000
3150,3150,1.0000000,293.3367004,1231.8875732,-938.5508423,1.0000000
3151,3151,1.0000000,272.0107422,1322.7055664,-1050.6948242,1.0000000
3152,3152,1.0000000,266.6148071,1381.4190674,-1114.8043213,1.0000000
3153,3153,1.0000000,271.7139893,1392.4465332,-1120.7325439,1.0000000
3154,3154,1.0000000,277.4068604,1379.7777100,-1102.3708496,1.0000000
3155,3155,1.0000000,285.2196655,1365.5349121,-1080.3153076,1.0000000
3156,3156,1.0000000,291.7028198,1356.7631836,-1065.0603027,1.0000000
3157,3157,1.0000000,299.1687012,1335.6062012,-1036.4375000,1.0000000
3158,3158,1.0000000,309.0685730,1304.4523926,-995.3838501,1.0000000
3159,3159,1.0000000,320.6827087,1268.9510498,-948.2683716,1.0000000
3160,3160,1.0000000,333.7441101,1236.4682617,-902.7241821,1.0000000
3161,3161,1.0000000,351.5719604,1191.7290039,-840.1570435,1.0000000
3162,3162,1.0000000,378.9658508,1120.4769287,-741.5110474,1.0000000
3163,3163,1.0000000,409.1141052,1044.9322510,-635.8181152,1.0000000
3164,3164,1.0000000,393.3916931,1084.6456299,-691.2539062,1.0000000
3165,3165,1.0000000,376.4984131,1153.8642578,-777.3659058,1.0000000
3166,3166,1.0000000,371.4777527,1195.4438477,-823.9660645,1.0000000
3167,3167,1.0000000,366.0815430,1219.9002686,-853.8187866,1.0000000
3168,3168,1.0000000,380.8836975,1191.1966553,-810.3129272,1.0000000
